Month,"Monthly gambling expenditure in Victoria, Australia, July 1999 to November 2006. Units are Millions of dollars per day. Smoking ban introduced in gaming venues in September 2002",
Jul-99,5.81,
Aug-99,5.76,
Sep-99,5.99,
Oct-99,6.12,
Nov-99,6.03,
Dec-99,6.25,
Jan-00,5.8,
Feb-00,5.67,
Mar-00,5.89,
Apr-00,5.91,
May-00,5.86,
Jun-00,6.07,
Jul-00,6.27,
Aug-00,6.68,
Sep-00,6.77,
Oct-00,6.71,
Nov-00,6.62,
Dec-00,6.5,
Jan-01,5.89,
Feb-01,6.05,
Mar-01,6.43,
Apr-01,6.47,
May-01,6.62,
Jun-01,6.77,
Jul-01,6.7,
Aug-01,6.95,
Sep-01,6.73,
Oct-01,7.07,
Nov-01,7.28,
Dec-01,7.32,
Jan-02,6.76,
Feb-02,6.93,
Mar-02,6.99,
Apr-02,7.16,
May-02,7.28,
Jun-02,7.08,
Jul-02,7.34,
Aug-02,7.87,
Sep-02,6.28,
Oct-02,6.3,
Nov-02,6.36,
Dec-02,6.28,
Jan-03,5.89,
Feb-03,6.04,
Mar-03,5.96,
Apr-03,6.1,
May-03,6.26,
Jun-03,6.02,
Jul-03,6.25,
Aug-03,6.41,
Sep-03,6.22,
Oct-03,6.57,
Nov-03,6.18,
Dec-03,6.26,
Jan-04,6.1,
Feb-04,6.02,
Mar-04,6.06,
Apr-04,6.35,
May-04,6.21,
Jun-04,6.48,
Jul-04,6.74,
Aug-04,6.53,
Sep-04,6.8,
Oct-04,6.75,
Nov-04,6.56,
Dec-04,6.66,
Jan-05,6.18,
Feb-05,6.4,
Mar-05,6.43,
Apr-05,6.54,
May-05,6.44,
Jun-05,6.64,
Jul-05,6.82,
Aug-05,6.97,
Sep-05,7,
Oct-05,6.91,
Nov-05,6.74,
Dec-05,6.98,
Jan-06,6.37,
Feb-06,6.56,
Mar-06,6.63,
Apr-06,6.87,
May-06,6.68,
Jun-06,6.75,
Jul-06,6.84,
Aug-06,7.15,
Sep-06,7.09,
Oct-06,6.97,
Nov-06,7.15,
,,
Monthly gambling expenditure in Victoria, Australia, July 1999 to November 2006. Units are Millions of dollars per day. Smoking ban introduced in gaming venues in September 2002
